Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.027128,-0.0010297,-0.43674,0,0,0,25,9.945,-0.072771,0.92751,8.4779,0.10811,1.9417,0,0,0,0,0,0,package://transcent_urdf/meshes/base_link.STL,0.19216,0.41961,0.63333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/base_link.STL,,TORSO-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_arm_sh_p1,0.43674,0.027128,-0.25094,0,0,0,2,1.9413,-0.92765,0.095919,9.945,0.071041,8.4783,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_sh_p1.STL,0.19216,0.21961,0.2,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_sh_p1.STL,,RIGHT_Arm_Link_1-1,right_arm_link1,right_arm_Axis1,r_arm_sh_p1,revolute,0,-0.25279,-0.0004714,-3.1416,1.5689,1.5708,base_link,0,0,1,130,3.14,-3.14,3.14,,,,,,,,
r_arm_sh_r,-0.0045709,0.12988,-0.00049479,0,0,0,2,0.00015989,4.4882E-06,-1.3481E-19,3.2519E-05,3.8307E-18,0.00016005,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_sh_r.STL,0.09216,0.81961,0.03333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_sh_r.STL,,RIGHT_Arm_Link_2_1-1,right_arm_link2,right_arm_Axis2,r_arm_sh_r,revolute,0,0,0,1.5595,1.5708,0,r_arm_sh_p1,0,0,1,130,3.14,-3.14,3.14,,,,,,,,
r_arm_sh_p2,-0.0005817,-3.8858E-16,-0.051497,0,0,0,2,1.0152E-10,-6.0963E-27,1.0802E-12,1.0151E-10,-2.0639E-25,1.9714E-10,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_sh_p2.STL,0.19216,0.21961,0.2,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_sh_p2.STL,,RIGHT_Arm_Link_2_2-1,right_arm_link3,right_arm_Axis3,r_arm_sh_p2,revolute,0,0.2349,0,0,1.5595,1.606,r_arm_sh_r,0,0,1,130,3.14,-3.14,3.14,,,,,,,,
r_arm_el_y,0.046061,-0.19389,-0.26236,0,0,0,2,9.9573,0.70999,0.25073,1.9061,-0.24158,8.5011,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_el_y.STL,0.79216,0.11961,0.13333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_el_y.STL,,RIGHT_Arm_Link_3-1,right_arm_link4,right_arm_Axis4,r_arm_el_y,revolute,0,0,0,-1.572,0.030435,-0.10619,r_arm_sh_p2,0,0,1,130,3.14,-3.14,3.14,,,,,,,,
r_arm_wr_r,0.046061,-0.26236,-0.014498,0,0,0,2,9.9573,0.25073,-0.70999,8.5011,0.24158,1.9061,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_wr_r.STL,0.39216,0.31961,0.33333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_wr_r.STL,,RIGHT_Arm_Link_4-1,right_arm_link5,right_arm_Axis5,r_arm_wr_r,revolute,0,-0.20839,0,1.5708,0,0,r_arm_el_y,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
r_arm_wr_y,0.064521,-0.014498,0.25844,0,0,0,2,9.9146,-0.72531,-0.35106,1.9061,-0.19071,8.5439,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_wr_y.STL,0.09216,0.81961,0.03333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_wr_y.STL,,RIGHT_Arm_Link_5-1,right_arm_link6,right_arm_Axis6,r_arm_wr_y,revolute,0,0,0,1.5708,0,-0.07086,r_arm_wr_r,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
r_arm_wr_p,0.0035633,-0.002378,0.048742,0,0,0,2,4.811E-05,3.5387E-07,-9.2205E-06,5.5016E-05,4.2427E-07,3.921E-05,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_wr_p.STL,0.79216,0.81961,0.33333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_wr_p.STL,,RIGHT_Arm_Link_6-2,right_arm_link7,right_arm_Axis7,r_arm_wr_p,revolute,0,0.10313,0,-1.5708,1.5708,0,r_arm_wr_y,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
r_arm_grip_thumb,0.038901,0.0041333,-0.020268,0,0,0,0.041233,1.3497E-05,-1.5654E-07,4.94E-12,9.4283E-06,4.7406E-12,1.0709E-05,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_grip_thumb.STL,0.79216,0.81961,0.33333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_grip_thumb.STL,,transcend_r_arm_grip_thumb-1,right_hand_link1,right_hand_Axis1,r_arm_grip_thumb,revolute,-0.03209,-0.046313,0.061228,-1.5708,-0.79395,3.0953,r_arm_wr_p,0,0,1,3.7,6.28,-3.14,3.14,,,,,,,,
r_arm_grip_index,0.021582,0.039055,-0.020254,0,0,0,0.037783,9.6946E-06,-9.7444E-07,-1.2257E-10,7.99E-06,-1.3078E-10,5.663E-06,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_grip_index.STL,0.79216,0.81961,0.33333,1,0,0,0,0,0,0,package://transcent_urdf/meshes/r_arm_grip_index.STL,,transcend_r_arm_grip_index-1,right_hand_link2,right_hand_Axis2,r_arm_grip_index,revolute,0.024624,-0.048943,0.088022,1.5708,-0.7854,-0.046338,r_arm_wr_p,0,0,1,3.7,6.28,-3.14,3.14,,,,,,,,
